survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
428,2017-09-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",1256,"Extremely Dissatisfied",.0609000000,"Very Dissatisfied",.0609000000,"Somewhat Dissatisfied",.1500000000,Neutral,.0860000000,"Somewhat Satisfied",.2110000000,"Very Satisfied",.3107000000,"Extremely Satisfied",.0676000000
429,2017-09-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",1233,"Extremely Dissatisfied",.0996000000,"Very Dissatisfied",.0996000000,"Somewhat Dissatisfied",.0956000000,Neutral,.1234000000,"Somewhat Satisfied",.1440000000,"Very Satisfied",.3276000000,"Extremely Satisfied",.1093000000
430,2017-09-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",1228,"Extremely Unlikely",.0052000000,"Very Unlikely",.0052000000,"Somewhat Unlikely",.0145000000,"Neither Likely nor Unlikely",.0399000000,"Somewhat Likely",.0471000000,"Very Likely",.2460000000,"Extremely Likely",.6404000000
431,2017-09-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",1229,"Extremely Unlikely",.0608000000,"Very Unlikely",.0608000000,"Somewhat Unlikely",.0645000000,"Neither Likely nor Unlikely",.1775000000,"Somewhat Likely",.1839000000,"Very Likely",.2000000000,"Extremely Likely",.2413000000
432,2017-09-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",1230,"Strongly Disagree",.1447000000,Disagree,.1447000000,"Slightly Disagree",.1586000000,"Neither Agree nor Disagree",.1001000000,"Slightly Agree",.2186000000,Agree,.1846000000,"Strongly Agree",.0520000000
433,2017-09-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",1225,"Strongly Disagree",.1439000000,Disagree,.1439000000,"Slightly Disagree",.1239000000,"Neither Agree nor Disagree",.2534000000,"Slightly Agree",.1665000000,Agree,.1328999999,"Strongly Agree",.0401000000
434,2017-09-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",1228,"Strongly Disagree",.0948000000,Disagree,.0948000000,"Slightly Disagree",.1370000000,"Neither Agree nor Disagree",.1503000000,"Slightly Agree",.2666000000,Agree,.1981000000,"Strongly Agree",.0510000000
435,2017-09-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",1230,"Strongly Disagree",.0830000000,Disagree,.0830000000,"Slightly Disagree",.1089000000,"Neither Agree nor Disagree",.1459000000,"Slightly Agree",.2060000000,Agree,.2754000000,"Strongly Agree",.0962000000
436,2017-09-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",1230,"Strongly Disagree",.1530000000,Disagree,.1530000000,"Slightly Disagree",.1503000000,"Neither Agree nor Disagree",.1318999999,"Slightly Agree",.2323000000,Agree,.1626000000,"Strongly Agree",.0328000000
437,2017-09-01,"MBTA Customer Opinion Panel","Wait time at stop",1228,Unacceptable,.0882000000,"Very Poor",.0882000000,Poor,.0841000000,Fair,.1155000000,Good,.0949000000,"Very Good",.3197000000,Excellent,.2236000000
438,2017-09-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",1213,Unacceptable,.0285000000,"Very Poor",.0285000000,Poor,.0951000000,Fair,.1830000000,Good,.1511000000,"Very Good",.3460000000,Excellent,.1312000000
439,2017-09-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",1230,Unacceptable,.1134000000,"Very Poor",.1134000000,Poor,.0943000000,Fair,.1265000000,Good,.0999000000,"Very Good",.2922000000,Excellent,.1817000000
440,2017-09-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",1222,Unacceptable,.0184000000,"Very Poor",.0184000000,Poor,.0801000000,Fair,.1886000000,Good,.1476000000,"Very Good",.3606000000,Excellent,.1437000000
441,2017-09-01,"MBTA Customer Opinion Panel","Speed/travel time",1232,Unacceptable,.1040000000,"Very Poor",.1040000000,Poor,.0944000000,Fair,.1148000000,Good,.1193000000,"Very Good",.3200000000,Excellent,.1648000000
442,2017-09-01,"MBTA Customer Opinion Panel","Parking availability",417,Unacceptable,.0851000000,"Very Poor",.0851000000,Poor,.0348000000,Fair,.2253000000,Good,.0735000000,"Very Good",.3106000000,Excellent,.1953000000
