survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
70,2016-05-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",493,"Extremely Dissatisfied",.0348000000,"Very Dissatisfied",.0348000000,"Somewhat Dissatisfied",.1249000000,Neutral,.0915000000,"Somewhat Satisfied",.3570000000,"Very Satisfied",.2872000000,"Extremely Satisfied",.0397000000
71,2016-05-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",483,"Extremely Dissatisfied",.0421000000,"Very Dissatisfied",.0421000000,"Somewhat Dissatisfied",.0806000000,Neutral,.1035000000,"Somewhat Satisfied",.2324000000,"Very Satisfied",.3991000000,"Extremely Satisfied",.0984000000
72,2016-05-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",482,"Extremely Unlikely",.0056000000,"Very Unlikely",.0056000000,"Somewhat Unlikely",.0189000000,"Neither Likely nor Unlikely",.0201000000,"Somewhat Likely",.0607000000,"Very Likely",.2350000000,"Extremely Likely",.6485000000
73,2016-05-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",477,"Extremely Unlikely",.0521000000,"Very Unlikely",.0521000000,"Somewhat Unlikely",.0383000000,"Neither Likely nor Unlikely",.1511000000,"Somewhat Likely",.2034000000,"Very Likely",.2536999999,"Extremely Likely",.2489000000
74,2016-05-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",476,"Strongly Disagree",.1181000000,Disagree,.1181000000,"Slightly Disagree",.1145000000,"Neither Agree nor Disagree",.0888000000,"Slightly Agree",.2553000000,Agree,.2445000000,"Strongly Agree",.0518000000
75,2016-05-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",476,"Strongly Disagree",.2327000000,Disagree,.2327000000,"Slightly Disagree",.1230000000,"Neither Agree nor Disagree",.1760000000,"Slightly Agree",.1587000000,Agree,.1187000000,"Strongly Agree",.0362000000
76,2016-05-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",474,"Strongly Disagree",.0977000000,Disagree,.0977000000,"Slightly Disagree",.1186000000,"Neither Agree nor Disagree",.1143000000,"Slightly Agree",.2741000000,Agree,.2637999999,"Strongly Agree",.0461000000
77,2016-05-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",475,"Strongly Disagree",.0997000000,Disagree,.0997000000,"Slightly Disagree",.0987000000,"Neither Agree nor Disagree",.1241000000,"Slightly Agree",.2270000000,Agree,.2620000000,"Strongly Agree",.1345000000
78,2016-05-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",476,"Strongly Disagree",.1438000000,Disagree,.1438000000,"Slightly Disagree",.2054000000,"Neither Agree nor Disagree",.0922000000,"Slightly Agree",.2200000000,Agree,.1572000000,"Strongly Agree",.0264000000
79,2016-05-01,"MBTA Customer Opinion Panel","Wait time at stop",478,Unacceptable,.0417000000,"Very Poor",.0417000000,Poor,.0538000000,Fair,.1655000000,Good,.2324000000,"Very Good",.2412000000,Excellent,.2452000000
